Data,Impr.
"qua., 1 de abr. de 2026",49
"qui., 2 de abr. de 2026",105
"sex., 3 de abr. de 2026",83
"sáb., 4 de abr. de 2026",148
"dom., 5 de abr. de 2026",119
"seg., 6 de abr. de 2026",85
"ter., 7 de abr. de 2026",149
"qua., 8 de abr. de 2026",38
"qui., 9 de abr. de 2026",61
"sex., 10 de abr. de 2026",167
"sáb., 11 de abr. de 2026",79
"dom., 12 de abr. de 2026",148
"seg., 13 de abr. de 2026",122
"ter., 14 de abr. de 2026",91
"qua., 15 de abr. de 2026",146
"qui., 16 de abr. de 2026",123
"sex., 17 de abr. de 2026",125
"sáb., 18 de abr. de 2026",114
"dom., 19 de abr. de 2026",87
"seg., 20 de abr. de 2026",113
"ter., 21 de abr. de 2026",53
"qua., 22 de abr. de 2026",97
"qui., 23 de abr. de 2026",92
"sex., 24 de abr. de 2026",113
"sáb., 25 de abr. de 2026",70
"dom., 26 de abr. de 2026",91
"seg., 27 de abr. de 2026",79
"ter., 28 de abr. de 2026",108
"qua., 29 de abr. de 2026",69
"qui., 30 de abr. de 2026",43
