Relatório do grupo de anúncios
1 de abril de 2026 - 30 de abril de 2026
Status do grupo de anúncios,Grupo de anúncios,Campanha,Status,Motivos do status,Código da moeda,CPC máx. padrão,CPV máx.,CPA desejado,Tipo de grupo de anúncios,Código da moeda,CPV médio do TrueView,Impr.,Interações,Taxa de interação,Custo médio,Custo,Inclusões de marca,Locais de interesse,Cliques,Taxa de conv.,Conversões,CPC méd.,Custo / conv.
Ativado,Vídeo Personalizado – 2021-07-30,1 - Youtube - Assessoria,Não qualificado,campanha pausada; desconhecido,BRL, --,"0,15", --,In-stream,BRL,0,0,0, --,0,"0,00",[],[],0,"0,00%","0,00",0,"0,00"
Ativado,Sexologia,Sexologia,Não qualificado,campanha finalizada; campanha pausada; a maioria dos anúncios foi limitada pela política,BRL, --,"0,15", --,Vídeo In-feed,BRL,0,0,0, --,0,"0,00",[],[],0,"0,00%","0,00",0,"0,00"
Ativado,TL Vídeo completo Mauro,Vídeo completo Mauro,Não qualificado,campanha finalizada; campanha pausada; desconhecido,BRL, --,"0,15", --,Vídeo In-feed,BRL,0,0,0, --,0,"0,00",[],[],0,"0,00%","0,00",0,"0,00"
Ativado,Foi no dia do falecimento da Marilia Mendonça,Foi no dia do falecimento da Marilia Mendonça,Não qualificado,campanha finalizada; campanha pausada; desconhecido,BRL, --,"0,15", --,Vídeo In-feed,BRL,0,0,0, --,0,"0,00",[],[],0,"0,00%","0,00",0,"0,00"
Ativado,Vídeo Personalizado – 2022-08-10,Talk Land - Formação Auto Estima Crianças,Não qualificado,campanha finalizada; campanha pausada; desconhecido,BRL, --,"0,15", --,Vídeo In-feed,BRL,0,0,0, --,0,"0,00",[],[],0,"0,00%","0,00",0,"0,00"
Ativado,Primeira Prisão,Como foi minha primeira prisão,Não qualificado,campanha finalizada; campanha pausada; desconhecido,BRL, --,"0,15", --,Vídeo In-feed,BRL,0,0,0, --,0,"0,00",[],[],0,"0,00%","0,00",0,"0,00"
Ativado,1 - Toledo/Cascavel - Gruber Contabilidade,2 - Toledo/Cascavel - Gruber Contabilidade,Não qualificado,campanha pausada; desconhecido,BRL, --, --, --,Padrão,BRL,0,0,0, --,0,"0,00",[],[],0,"0,00%","0,00",0,"0,00"
Ativado,Vídeo Personalizado – 2022-10-07 - Amamentação,Vídeo Personalizado – 2022-10-07 - Amamentação,Não qualificado,campanha finalizada; campanha pausada; desconhecido,BRL, --,"0,20", --,Vídeo In-feed,BRL,0,0,0, --,0,"0,00",[],[],0,"0,00%","0,00",0,"0,00"
Ativado,Grupo de anúncios 1,Gruber [02] Captura de Leads,Não qualificado,campanha pausada; desconhecido,BRL, --, --, --,Padrão,BRL,0,0,0, --,0,"0,00",[],[],0,"0,00%","0,00",0,"0,00"
Ativado,1 - Leads - Pesquisa - Padrão - Gruber Contabilidade,0 - Pesquisa - Leads - Gruber Contabilidade,Não qualificado,campanha pausada; desconhecido,BRL,"3,50 (melhorado)", --, --,Padrão,BRL,0,0,0, --,0,"0,00",[],[],0,"0,00%","0,00",0,"0,00"
